"","date","yn","day","night","dd","month","year"
"330",2016-07-09,1,1,0,0,7,2016
"331",2016-07-10,1,1,0,0,7,2016
"332",2016-07-11,0,0,0,0,7,2016
"333",2016-07-12,0,0,0,0,7,2016
"334",2016-07-13,0,0,0,0,7,2016
"335",2016-07-14,0,0,0,0,7,2016
"336",2016-07-15,0,0,0,0,7,2016
"337",2016-07-16,1,1,0,1,7,2016
"338",2016-07-17,1,1,0,0,7,2016
"339",2016-07-18,1,1,0,0,7,2016
"340",2016-07-19,0,0,0,0,7,2016
"341",2016-07-20,0,0,0,0,7,2016
"342",2016-07-21,0,0,0,0,7,2016
"343",2016-07-22,1,0,0,1,7,2016
"344",2016-07-23,0,0,0,0,7,2016
"345",2016-07-24,0,0,0,0,7,2016
"346",2016-07-25,1,1,0,0,7,2016
"347",2016-07-26,1,1,0,0,7,2016
"348",2016-07-27,1,1,0,1,7,2016
"349",2016-07-28,1,1,0,1,7,2016
"350",2016-07-29,0,0,0,0,7,2016
"351",2016-07-30,0,0,0,0,7,2016
"352",2016-07-31,0,0,0,0,7,2016
"353",2016-08-01,1,1,0,1,8,2016
"354",2016-08-02,1,1,0,1,8,2016
"355",2016-08-03,1,1,0,1,8,2016
"356",2016-08-04,1,1,0,1,8,2016
"357",2016-08-05,1,0,0,1,8,2016
"358",2016-08-06,1,1,0,1,8,2016
"359",2016-08-07,1,1,0,0,8,2016
"360",2016-08-08,0,0,0,0,8,2016
"361",2016-08-09,0,0,0,0,8,2016
"362",2016-08-10,1,1,0,0,8,2016
"363",2016-08-11,1,1,0,1,8,2016
"364",2016-08-12,1,1,0,1,8,2016
"365",2016-08-13,0,0,0,0,8,2016
"366",2016-08-14,0,0,0,0,8,2016
"367",2016-08-15,1,1,0,0,8,2016
"368",2016-08-16,1,1,0,1,8,2016
"369",2016-08-17,1,1,0,0,8,2016
"370",2016-08-18,1,1,0,0,8,2016
"371",2016-08-19,0,0,0,0,8,2016
"372",2016-08-22,0,0,0,0,8,2016
"373",2016-08-23,0,0,0,0,8,2016
"374",2016-08-24,0,0,0,0,8,2016
"375",2016-08-25,0,0,0,0,8,2016
"376",2016-08-26,0,0,0,0,8,2016
"377",2016-08-27,1,1,0,1,8,2016
"378",2016-08-28,1,1,0,1,8,2016
"379",2016-08-29,0,0,0,0,8,2016
"380",2016-08-30,0,0,0,0,8,2016
"381",2016-08-31,1,0,0,1,8,2016
"382",2016-09-01,0,0,0,0,9,2016
"383",2016-09-02,1,1,0,1,9,2016
"384",2016-09-03,1,1,0,0,9,2016
"385",2016-09-04,1,1,0,0,9,2016
"386",2016-09-06,0,0,0,0,9,2016
"387",2016-09-07,1,1,0,0,9,2016
"388",2016-09-08,1,1,0,1,9,2016
"389",2016-09-09,1,1,0,1,9,2016
"390",2016-09-10,1,1,0,0,9,2016
"391",2016-09-11,1,1,0,1,9,2016
"392",2016-09-12,1,1,0,1,9,2016
"393",2016-09-13,1,1,0,1,9,2016
"394",2016-09-14,1,1,0,1,9,2016
"395",2016-09-15,1,1,0,1,9,2016
"396",2016-09-16,0,0,0,0,9,2016
"397",2016-09-17,0,0,0,0,9,2016
"398",2016-09-18,0,0,0,0,9,2016
"399",2016-09-19,0,0,0,0,9,2016
"400",2016-09-20,1,1,0,0,9,2016
"401",2016-09-21,0,0,0,0,9,2016
"402",2016-09-22,0,0,0,0,9,2016
"403",2016-09-23,0,0,0,0,9,2016
"404",2016-09-24,1,1,0,1,9,2016
"405",2016-09-25,0,0,0,0,9,2016
"406",2016-09-26,1,1,0,0,9,2016
"407",2016-09-27,1,1,0,1,9,2016
"408",2016-09-28,1,1,0,1,9,2016
"409",2016-09-29,1,1,0,1,9,2016
"410",2016-09-30,1,0,0,1,9,2016
"411",2016-10-01,1,1,0,1,10,2016
"412",2016-10-02,1,1,0,1,10,2016
"413",2016-10-03,1,1,0,1,10,2016
"414",2016-10-04,1,0,0,1,10,2016
"415",2016-10-05,1,1,0,1,10,2016
"416",2016-10-06,1,1,0,1,10,2016
"417",2016-10-07,1,1,0,1,10,2016
"418",2016-10-08,1,1,0,1,10,2016
"419",2016-10-09,1,1,0,1,10,2016
"420",2016-10-10,1,1,0,1,10,2016
"421",2016-10-11,1,1,0,1,10,2016
"422",2016-10-12,1,1,0,1,10,2016
"423",2016-10-13,1,1,0,1,10,2016
"424",2016-10-14,1,1,0,1,10,2016
"425",2016-10-15,1,1,0,1,10,2016
"426",2016-10-16,1,1,0,0,10,2016
"427",2016-10-17,1,1,0,1,10,2016
"428",2016-10-18,1,1,0,1,10,2016
"429",2016-10-19,1,1,0,0,10,2016
"430",2016-10-20,1,1,0,1,10,2016
"431",2016-10-21,1,0,0,1,10,2016
"432",2016-10-22,1,1,0,1,10,2016
"433",2016-10-23,1,0,0,1,10,2016
"434",2016-10-29,1,1,0,0,10,2016
"435",2016-10-30,1,0,0,1,10,2016
"436",2016-10-31,1,1,0,1,10,2016
"437",2016-11-01,1,1,0,1,11,2016
"438",2016-11-02,1,1,0,1,11,2016
"439",2016-11-03,1,1,0,1,11,2016
"440",2016-11-04,1,1,0,1,11,2016
"441",2016-11-05,1,1,0,1,11,2016
"442",2016-11-06,1,1,0,1,11,2016
"443",2016-11-07,1,1,0,1,11,2016
"444",2016-11-08,0,0,0,0,11,2016
"445",2016-11-09,1,1,0,0,11,2016
"446",2016-11-10,0,0,0,0,11,2016
"447",2016-11-11,0,0,0,0,11,2016
"448",2016-11-12,1,1,0,1,11,2016
"449",2016-11-13,0,0,0,0,11,2016
"450",2016-11-14,1,1,0,1,11,2016
"451",2016-11-15,1,1,0,1,11,2016
"452",2016-11-16,1,1,0,1,11,2016
"453",2016-11-17,1,1,0,0,11,2016
"454",2016-11-18,1,1,0,1,11,2016
"455",2016-11-19,0,0,0,0,11,2016
"456",2016-11-20,1,1,0,0,11,2016
"457",2016-11-21,1,1,0,1,11,2016
"458",2016-11-22,0,0,0,0,11,2016
"459",2016-11-23,1,1,0,0,11,2016
"460",2016-11-24,1,1,0,0,11,2016
"461",2016-11-25,1,1,0,1,11,2016
"462",2016-11-26,0,0,0,0,11,2016
"463",2016-11-27,0,0,0,0,11,2016
"464",2016-11-28,1,1,0,1,11,2016
"465",2016-11-29,1,1,0,0,11,2016
"466",2016-11-30,0,0,0,0,11,2016
"467",2016-12-01,0,0,0,0,12,2016
"468",2016-12-02,0,0,0,0,12,2016
"469",2016-12-03,1,0,0,1,12,2016
"470",2016-12-04,1,1,0,0,12,2016
"471",2016-12-05,0,0,0,0,12,2016
"472",2016-12-06,0,0,0,0,12,2016
"473",2016-12-07,1,1,0,0,12,2016
"474",2016-12-08,0,0,0,0,12,2016
"475",2016-12-09,0,0,0,0,12,2016
"476",2016-12-10,0,0,0,0,12,2016
